date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:38	16008/16008	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2014:21:56%20GMT	https://studyinjogja.com/studi/contoh-proposal-penelitian-bidang-lingkungan	C:/My%20Web%20Sites/studi/contoh-proposal-penelitian-bidang-lingkungan.html	(from )
07:58:39	27129/27129	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2014:30:35%20GMT	https://studyinjogja.com/studi/contoh-proposal-penelitian-bidang-pendidikan	C:/My%20Web%20Sites/studi/contoh-proposal-penelitian-bidang-pendidikan.html	(from )
07:58:39	16381/16381	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:00:33%20GMT	https://studyinjogja.com/studi/contoh-proposal-penelitian-bidang-politik	C:/My%20Web%20Sites/studi/contoh-proposal-penelitian-bidang-politik.html	(from )
07:58:39	17826/17826	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:05:27%20GMT	https://studyinjogja.com/studi/contoh-proposal-penelitian-bidang-teknik-elektro	C:/My%20Web%20Sites/studi/contoh-proposal-penelitian-bidang-teknik-elektro.html	(from )
07:58:39	18010/18010	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:10:15%20GMT	https://studyinjogja.com/studi/contoh-proposal-penelitian-bidang-teknik-kimia	C:/My%20Web%20Sites/studi/contoh-proposal-penelitian-bidang-teknik-kimia.html	(from )
07:58:40	17341/17341	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:13:22%20GMT	https://studyinjogja.com/studi/contoh-proposal-penelitian-bidang-teknik-sipil	C:/My%20Web%20Sites/studi/contoh-proposal-penelitian-bidang-teknik-sipil.html	(from )
07:58:40	16249/16249	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:17:00%20GMT	https://studyinjogja.com/studi/contoh-proposal-penelitian-bidang-teknologi-informasi	C:/My%20Web%20Sites/studi/contoh-proposal-penelitian-bidang-teknologi-informasi.html	(from )
07:58:40	18749/18749	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2014:41:13%20GMT	https://studyinjogja.com/studi/contoh-proposal-penelitian-jurusan-pertanian	C:/My%20Web%20Sites/studi/contoh-proposal-penelitian-jurusan-pertanian.html	(from )
07:58:40	22901/22901	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2014:45:10%20GMT	https://studyinjogja.com/studi/contoh-proposal-penelitian-jurusan-sistem-informasi	C:/My%20Web%20Sites/studi/contoh-proposal-penelitian-jurusan-sistem-informasi.html	(from )
07:58:40	23110/23110	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2014:56:57%20GMT	https://studyinjogja.com/studi/contoh-teks-mc-seminar-singkat-namun-padat	C:/My%20Web%20Sites/studi/contoh-teks-mc-seminar-singkat-namun-padat.html	(from )
07:58:41	20441/20441	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:21:10%20GMT	https://studyinjogja.com/studi/contoh-teks-mc-seminar-yang-menarik	C:/My%20Web%20Sites/studi/contoh-teks-mc-seminar-yang-menarik.html	(from )
07:58:41	16872/16872	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:24:11%20GMT	https://studyinjogja.com/studi/contoh-teks-mc-seminar-yang-mengungkapkan-tujuan-acara	C:/My%20Web%20Sites/studi/contoh-teks-mc-seminar-yang-mengungkapkan-tujuan-acara.html	(from )
07:58:41	18631/18631	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:35:41%20GMT	https://studyinjogja.com/studi/contoh-teks-mc-seminar-yang-menyebutkan-jadwal-acara	C:/My%20Web%20Sites/studi/contoh-teks-mc-seminar-yang-menyebutkan-jadwal-acara.html	(from )
07:58:41	17267/17267	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:38:45%20GMT	https://studyinjogja.com/studi/ide-inovasi-dan-implementasi-program-kkn	C:/My%20Web%20Sites/studi/ide-inovasi-dan-implementasi-program-kkn.html	(from )
07:58:42	22564/22564	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:41:38%20GMT	https://studyinjogja.com/studi/indikator-keberhasilan-program-kkn	C:/My%20Web%20Sites/studi/indikator-keberhasilan-program-kkn.html	(from )
07:58:42	15184/15184	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:45:27%20GMT	https://studyinjogja.com/studi/karir-akuntansi-perpajakan	C:/My%20Web%20Sites/studi/karir-akuntansi-perpajakan.html	(from )
07:58:42	15787/15787	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202023%2015:48:44%20GMT	https://studyinjogja.com/studi/karir-akuntansi-syariah	C:/My%20Web%20Sites/studi/karir-akuntansi-syariah.html	(from )
07:58:42	19076/19076	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2010:41:35%20GMT	https://studyinjogja.com/studi/peluang-kerja-agribisnis	C:/My%20Web%20Sites/studi/peluang-kerja-agribisnis.html	(from )
07:58:42	15564/15564	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2010:45:24%20GMT	https://studyinjogja.com/studi/peluang-kerja-akuntansi	C:/My%20Web%20Sites/studi/peluang-kerja-akuntansi.html	(from )
07:58:43	14871/14871	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2010:08:29%20GMT	https://studyinjogja.com/studi/peluang-kerja-konservasi-arkeologi	C:/My%20Web%20Sites/studi/peluang-kerja-konservasi-arkeologi.html	(from )
07:58:43	17899/17899	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2010:19:23%20GMT	https://studyinjogja.com/studi/peluang-kerja-manajemen-konstruksi	C:/My%20Web%20Sites/studi/peluang-kerja-manajemen-konstruksi.html	(from )
07:58:43	16635/16635	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2010:24:01%20GMT	https://studyinjogja.com/studi/peluang-kerja-mikrobiologi	C:/My%20Web%20Sites/studi/peluang-kerja-mikrobiologi.html	(from )
07:58:43	15824/15824	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2010:39:08%20GMT	https://studyinjogja.com/studi/peluang-kerja-pendidikan-khusus	C:/My%20Web%20Sites/studi/peluang-kerja-pendidikan-khusus.html	(from )
07:58:44	15419/15419	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2010:42:45%20GMT	https://studyinjogja.com/studi/peluang-kerja-penelitian-sosial	C:/My%20Web%20Sites/studi/peluang-kerja-penelitian-sosial.html	(from )
07:58:44	16418/16418	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2010:46:33%20GMT	https://studyinjogja.com/studi/peluang-kerja-psikologi	C:/My%20Web%20Sites/studi/peluang-kerja-psikologi.html	(from )
07:58:44	17588/17588	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2010:49:57%20GMT	https://studyinjogja.com/studi/peluang-kerja-riset-biologi	C:/My%20Web%20Sites/studi/peluang-kerja-riset-biologi.html	(from )
07:58:44	16055/16055	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202023%2013:45:14%20GMT	https://studyinjogja.com/studi/peluang-kerja-teknik-bioproses	C:/My%20Web%20Sites/studi/peluang-kerja-teknik-bioproses.html	(from )
07:58:44	18685/18685	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Oct%202023%2013:17:32%20GMT	https://studyinjogja.com/studi/peluang-kerja-teknologi-pendidikan	C:/My%20Web%20Sites/studi/peluang-kerja-teknologi-pendidikan.html	(from )
07:58:45	17016/17016	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Oct%202023%2013:13:19%20GMT	https://studyinjogja.com/studi/program-kerja-kkn-bidang-konservasi-keanekaragaman-hayati	C:/My%20Web%20Sites/studi/program-kerja-kkn-bidang-konservasi-keanekaragaman-hayati.html	(from )
07:58:45	21038/21038	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Oct%202023%2013:24:27%20GMT	https://studyinjogja.com/studi/program-kerja-kkn-bidang-konservasi-lingkungan-hidup	C:/My%20Web%20Sites/studi/program-kerja-kkn-bidang-konservasi-lingkungan-hidup.html	(from )
